prefix,fec
125.20.172.192/26,EquivalenceClass(125.20.172.192 - 125.20.172.255)
125.20.172.64/26,EquivalenceClass(125.20.172.64 - 125.20.172.191)
125.20.172.0/26,EquivalenceClass(125.20.172.0 - 125.20.172.63)
125.20.160.0/21,EquivalenceClass(125.20.160.0 - 125.20.171.255)
125.20.159.0/24,EquivalenceClass(125.20.159.0 - 125.20.159.255)
125.20.158.0/24,EquivalenceClass(125.20.158.0 - 125.20.158.255)
125.20.156.0/23,EquivalenceClass(125.20.156.0 - 125.20.157.255)
125.20.152.0/22,EquivalenceClass(125.20.152.0 - 125.20.155.255)
125.20.148.0/22,EquivalenceClass(125.20.148.0 - 125.20.151.255)
125.20.144.0/22,EquivalenceClass(125.20.144.0 - 125.20.147.255)
125.20.140.0/22,EquivalenceClass(125.20.140.0 - 125.20.143.255)
125.20.136.0/22,EquivalenceClass(125.20.136.0 - 125.20.139.255)
125.20.132.0/22,EquivalenceClass(125.20.132.0 - 125.20.135.255)
125.20.129.0/24,EquivalenceClass(125.20.129.0 - 125.20.131.255)
125.20.128.0/24,EquivalenceClass(125.20.128.0 - 125.20.128.255)
125.20.120.0/21,EquivalenceClass(125.20.120.0 - 125.20.127.255)
125.20.119.192/26,EquivalenceClass(125.20.119.192 - 125.20.119.255)
125.20.119.128/26,EquivalenceClass(125.20.119.128 - 125.20.119.191)
125.20.119.64/26,EquivalenceClass(125.20.119.64 - 125.20.119.127)
125.20.119.0/26,EquivalenceClass(125.20.119.0 - 125.20.119.63)
125.20.116.0/23,EquivalenceClass(125.20.116.0 - 125.20.118.255)
125.20.115.192/26,EquivalenceClass(125.20.115.192 - 125.20.115.255)
125.20.115.128/26,EquivalenceClass(125.20.115.128 - 125.20.115.191)
125.20.115.64/26,EquivalenceClass(125.20.115.64 - 125.20.115.127)
125.20.115.0/26,EquivalenceClass(125.20.115.0 - 125.20.115.63)
125.20.114.0/24,EquivalenceClass(125.20.114.0 - 125.20.114.255)
125.20.113.224/27,EquivalenceClass(125.20.113.224 - 125.20.113.255)
125.20.113.192/27,EquivalenceClass(125.20.113.192 - 125.20.113.223)
125.20.113.160/27,EquivalenceClass(125.20.113.160 - 125.20.113.191)
125.20.113.128/27,EquivalenceClass(125.20.113.128 - 125.20.113.159)
125.20.113.64/26,EquivalenceClass(125.20.113.64 - 125.20.113.127)
125.20.113.0/26,EquivalenceClass(125.20.113.0 - 125.20.113.63)
125.20.112.224/27,EquivalenceClass(125.20.112.224 - 125.20.112.255)
125.20.112.192/27,EquivalenceClass(125.20.112.192 - 125.20.112.223)
125.20.112.160/27,EquivalenceClass(125.20.112.160 - 125.20.112.191)
125.20.112.128/27,EquivalenceClass(125.20.112.128 - 125.20.112.159)
125.20.112.96/27,EquivalenceClass(125.20.112.96 - 125.20.112.127)
125.20.112.64/27,EquivalenceClass(125.20.112.64 - 125.20.112.95)
125.20.112.0/26,EquivalenceClass(125.20.112.0 - 125.20.112.63)
